ct_dst_src_ltm,sport,ct_dst_sport_ltm,dsport,ct_src_dport_ltm,ct_src_ ltm,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,ct_dst_ltm,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,Label
1,60756,1,53,1,1,0.001201,130,162,31,29,0,0,1,432972.5313,539550.375,2,2,0,0,0,0,65,81,0,0,0,0,1421927418,1421927418,0.019,0.016,0,0,0,0,0,0,0,0,12,3,0
1,25689,1,53,2,2,0.001079,132,164,31,29,0,0,1,489342,607970.375,2,2,0,0,0,0,66,82,0,0,0,0,1421927419,1421927419,0.011,0.008,0,0,0,0,0,0,0,0,12,7,0
2,16931,1,38340,1,3,0.001864,528,304,31,29,0,0,2,1699570.875,978540.75,4,4,0,0,0,0,132,76,0,0,0.661617,0.338476,1421927419,1421927419,0.474333,0.244333,0,0,0,0,0,0,0,0,8,2,0
2,15133,1,111,1,3,0.0051,568,312,31,29,0,0,2,668235.25,367058.8125,4,4,0,0,0,0,142,78,0,0,1.869125,1.620926,1421927419,1421927419,1.332667,1.156667,0,0,0,0,0,0,0,0,8,2,0
1,58771,1,53,1,1,0.001123,132,164,31,29,0,0,1,470169.1563,584149.5625,2,2,0,0,0,0,66,82,0,0,0,0,1421927419,1421927419,0.012,0.008,0,0,0,0,0,0,0,0,7,6,0
1,13903,1,53,1,1,0.001112,132,164,31,29,0,0,1,474820.1563,589928.0625,2,2,0,0,0,0,66,82,0,0,0,0,1421927419,1421927419,0.018,0.016,0,0,0,0,0,0,0,0,6,8,0
1,24551,1,53,1,3,0.001066,132,164,31,29,0,0,2,495309.5938,615384.625,2,2,0,0,0,0,66,82,0,0,0,0,1421927419,1421927419,0.011,0.008,0,0,0,0,0,0,0,0,6,9,0
1,10510,1,53,2,2,0.001108,130,162,31,29,0,0,2,469314.0625,584837.5,2,2,0,0,0,0,65,81,0,0,0,0,1421927419,1421927419,0.017,0.012,0,0,0,0,0,0,0,0,12,9,0
1,39500,1,80,1,1,0.177449,1214,268,254,252,2,1,1,49276.12891,10098.67578,10,6,255,255,366102997,2277661750,121,45,1,0,1020.236764,62.002961,1421927419,1421927419,19.203667,34.071199,0.05198,0.007076,0.044904,0,1,1,0,0,5,2,1
1,29309,1,3000,1,1,0.19491,844,268,254,252,2,1,1,31193.88281,9193.986328,10,6,255,255,257622786,1677629526,84,45,0,0,1071.497007,61.076766,1421927420,1421927420,19.932667,37.800801,0.050128,0.005888,0.04424,0,1,0,0,0,1,1,1
2,31564,1,55173,1,2,0.011205,528,304,31,29,0,0,2,282730.9375,162784.4688,4,4,0,0,0,0,132,76,0,0,0.625554,4.74233,1421927420,1421927420,0.449333,3.361333,0,0,0,0,0,0,0,0,8,2,0
1,44119,1,53,2,2,0.001091,130,162,31,29,0,0,3,476626.9375,593950.5,2,2,0,0,0,0,65,81,0,0,0,0,1421927420,1421927420,0.011,0.008,0,0,0,0,0,0,0,0,8,3,0
1,41515,1,53,1,1,0.001091,130,162,31,29,0,0,2,476626.9375,593950.5,2,2,0,0,0,0,65,81,0,0,0,0,1421927420,1421927420,0.011,0.008,0,0,0,0,0,0,0,0,5,9,0
1,32716,1,53,1,1,0.001135,132,164,31,29,0,0,1,465198.2188,577973.5625,2,2,0,0,0,0,66,82,0,0,0,0,1421927420,1421927420,0.011,0.008,0,0,0,0,0,0,0,0,7,8,0
1,40309,1,53,1,1,0.001105,132,164,31,29,0,0,2,477828.0313,593665.125,2,2,0,0,0,0,66,82,0,0,0,0,1421927420,1421927420,0.011,0.008,0,0,0,0,0,0,0,0,7,8,0
1,47061,1,53,2,2,0.001087,146,178,31,29,0,0,2,537258.5,655013.8125,2,2,0,0,0,0,73,89,0,0,0,0,1421927420,1421927420,0.011,0.008,0,0,0,0,0,0,0,0,8,8,0
2,29622,1,111,1,2,0.040337,568,312,31,29,0,0,2,84488.1875,46409.00391,4,4,0,0,0,0,142,78,0,0,11.786999,18.234869,1421927420,1421927420,8.349667,12.905,0,0,0,0,0,0,0,0,8,2,0
2,30507,1,32859,1,3,0.0314,520,304,31,29,0,0,3,99363.0625,58089.17578,4,4,0,0,0,0,130,76,0,0,7.678237,10.358879,1421927420,1421927420,5.437333,7.331333,0,0,0,0,0,0,0,0,2,2,0
2,56644,1,111,1,3,0.060192,568,304,31,29,0,0,3,56618.82031,30303.0293,4,4,0,0,0,0,142,76,0,0,21.212496,27.670975,1421927420,1421927420,15.011,19.576334,0,0,0,0,0,0,0,0,2,2,0
1,49910,1,53,1,3,0.001044,130,162,31,29,0,0,2,498084.2813,620689.625,2,2,0,0,0,0,65,81,0,0,0,0,1421927420,1421927420,0.011,0.008,0,0,0,0,0,0,0,0,6,9,0
2,36701,1,111,1,3,0.004565,568,304,31,29,0,0,5,746549.8125,399561.875,4,4,0,0,0,0,142,76,0,0,1.722279,1.432127,1421927421,1421927421,1.225333,1.020667,0,0,0,0,0,0,0,0,5,4,0
2,15807,2,53,3,3,0.001118,132,164,31,29,0,0,5,472271.9063,586762.0625,2,2,0,0,0,0,66,82,0,0,0,0,1421927421,1421927421,0.012,0.008,0,0,0,0,0,0,0,0,12,8,0
1,57983,1,53,3,3,0.00112,132,164,31,29,0,0,3,471428.5625,585714.25,2,2,0,0,0,0,66,82,0,0,0,0,1421927421,1421927421,0.018,0.016,0,0,0,0,0,0,0,0,12,9,0
2,15807,2,53,3,3,0.001118,132,164,31,29,0,0,5,472271.9063,586762.0625,2,2,0,0,0,0,66,82,0,0,0,0,1421927421,1421927421,0.012,0.008,0,0,0,0,0,0,0,0,12,8,0
2,62824,1,14455,1,3,0.001775,520,304,31,29,0,0,5,1757746.5,1027605.625,4,4,0,0,0,0,130,76,0,0,0.645117,0.309251,1421927421,1421927421,0.461667,0.223667,0,0,0,0,0,0,0,0,5,4,0
1,26719,1,53,1,1,0.001087,146,178,31,29,0,0,3,537258.5,655013.8125,2,2,0,0,0,0,73,89,0,0,0,0,1421927421,1421927421,0.011,0.008,0,0,0,0,0,0,0,0,6,9,0
1,57137,1,53,1,1,0.001111,132,164,31,29,0,0,5,475247.5313,590459.0625,2,2,0,0,0,0,66,82,0,0,0,0,1421927421,1421927421,0.017,0.013,0,0,0,0,0,0,0,0,6,8,0
1,19393,1,53,1,3,0.001118,132,164,31,29,0,0,3,472271.9063,586762.0625,2,2,0,0,0,0,66,82,0,0,0,0,1421927421,1421927421,0.011,0.009,0,0,0,0,0,0,0,0,7,9,0
1,61089,1,80,1,1,0.291485,804,948,62,252,2,2,1,19870.66211,22779.90234,10,8,255,255,680695067,4039411526,80,119,1,72,1595.821133,57.742824,1421927421,1421927421,32.387222,39.581855,0.062967,0.013476,0.049491,0,1,1,0,0,5,2,1
1,23910,1,80,2,2,2.59291,2082,268,254,252,6,1,1,5967.041016,691.115356,14,6,255,255,2619540488,2887663221,149,45,1,0,17309.57132,1007.28625,1421927419,1421927422,198.502841,509.158,0.09546,0.047109,0.048351,0,1,1,0,0,5,2,1
1,44762,1,80,1,1,0.232939,828,4004,62,252,2,3,1,25620.44141,123774.8906,10,10,255,255,1642695991,2571518661,83,400,1,1546,1238.231758,1819.494123,1421927422,1421927422,25.882111,25.034111,0.053678,0.006931,0.046747,0,1,1,0,0,1,1,1
1,4159,1,80,2,2,0.432056,838,986,62,252,2,2,1,13979.66895,16442.3125,10,10,255,255,3972319434,3549329861,84,99,1,49,3335.436995,90.561766,1421927421,1421927422,48.006222,42.525668,0.093643,0.048778,0.044865,0,1,1,0,0,5,2,1
1,13987,1,53,1,1,0.00106,130,162,31,29,0,0,2,490566.0313,611320.75,2,2,0,0,0,0,65,81,0,0,0,0,1421927422,1421927422,0.018,0.015,0,0,0,0,0,0,0,0,6,9,0
1,34944,1,53,1,1,0.001073,132,164,31,29,0,0,2,492078.2813,611370,2,2,0,0,0,0,66,82,0,0,0,0,1421927422,1421927422,0.011,0.008,0,0,0,0,0,0,0,0,6,9,0
1,40146,1,53,1,1,0.001176,132,164,31,29,0,0,1,448979.5938,557823.125,2,2,0,0,0,0,66,82,0,0,0,0,1421927422,1421927422,0.012,0.009,0,0,0,0,0,0,0,0,7,7,0
1,4864,1,53,1,1,0.001214,146,178,31,29,0,0,1,481054.3438,586490.9375,2,2,0,0,0,0,73,89,0,0,0,0,1421927422,1421927422,0.018,0.012,0,0,0,0,0,0,0,0,5,8,0
1,35110,1,53,1,1,0.001126,132,164,31,29,0,0,1,468916.5313,582593.25,2,2,0,0,0,0,66,82,0,0,0,0,1421927422,1421927422,0.011,0.008,0,0,0,0,0,0,0,0,6,4,0
1,6379,1,53,1,1,0.00108,146,178,31,29,0,0,1,540740.75,659259.3125,2,2,0,0,0,0,73,89,0,0,0,0,1421927422,1421927422,0.011,0.008,0,0,0,0,0,0,0,0,12,7,0
1,62676,1,53,2,4,0.001061,132,164,31,29,0,0,1,497643.7188,618284.625,2,2,0,0,0,0,66,82,0,0,0,0,1421927423,1421927423,0.011,0.008,0,0,0,0,0,0,0,0,8,4,0
2,53247,1,25790,1,4,0.00178,520,304,31,29,0,0,2,1752809,1024719.063,4,4,0,0,0,0,130,76,0,0,0.642524,0.310193,1421927423,1421927423,0.461333,0.224333,0,0,0,0,0,0,0,0,2,4,0
1,61452,1,53,1,1,0.001125,146,178,31,29,0,0,2,519111.125,632888.9375,2,2,0,0,0,0,73,89,0,0,0,0,1421927423,1421927423,0.017,0.013,0,0,0,0,0,0,0,0,5,9,0
1,16859,1,53,1,1,0.001064,132,164,31,29,0,0,1,496240.625,616541.375,2,2,0,0,0,0,66,82,0,0,0,0,1421927423,1421927423,0.011,0.007,0,0,0,0,0,0,0,0,12,8,0
1,30521,1,53,1,1,0.001083,146,178,31,29,0,0,1,539242.875,657433.0625,2,2,0,0,0,0,73,89,0,0,0,0,1421927423,1421927423,0.011,0.008,0,0,0,0,0,0,0,0,5,7,0
1,1809,1,53,1,1,0.001128,132,164,31,29,0,0,2,468085.125,581560.3125,2,2,0,0,0,0,66,82,0,0,0,0,1421927423,1421927423,0.011,0.008,0,0,0,0,0,0,0,0,7,9,0
1,37848,1,53,2,4,0.001166,132,164,31,29,0,0,1,452830.1875,562607.1875,2,2,0,0,0,0,66,82,0,0,0,0,1421927423,1421927423,0.018,0.013,0,0,0,0,0,0,0,0,8,6,0
2,53697,1,111,1,4,0.00468,568,304,31,29,0,0,2,728205.1875,389743.5938,4,4,0,0,0,0,142,76,0,0,1.760229,1.48045,1421927423,1421927423,1.256667,1.057333,0,0,0,0,0,0,0,0,2,4,0
1,43850,1,80,1,1,0.244832,876,9446,62,252,2,5,1,25780.94336,286629.2188,10,14,255,255,343078991,3590939569,88,675,1,4200,1295.366611,1510.194144,1421927423,1421927423,27.203556,18.206078,0.052299,0.007492,0.044807,0,1,1,0,0,3,1,1
1,45430,1,53,2,2,0.001069,130,162,31,29,0,0,2,486435.9375,606174,2,2,0,0,0,0,65,81,0,0,0,0,1421927424,1421927424,0.011,0.008,0,0,0,0,0,0,0,0,12,8,0
1,39128,1,48372,1,1,0.001793,520,304,31,29,0,0,2,1740100.375,1017289.438,4,4,0,0,0,0,130,76,0,0,0.635925,0.314435,1421927424,1421927424,0.456667,0.227333,0,0,0,0,0,0,0,0,5,3,0
1,4318,1,53,2,2,0.001112,146,178,31,29,0,0,1,525179.875,640287.8125,2,2,0,0,0,0,73,89,0,0,0,0,1421927424,1421927424,0.011,0.008,0,0,0,0,0,0,0,0,12,9,0
1,14309,1,53,1,1,0.001141,146,178,31,29,0,0,1,511831.75,624014.0625,2,2,0,0,0,0,73,89,0,0,0,0,1421927424,1421927424,0.019,0.013,0,0,0,0,0,0,0,0,5,4,0
1,45898,1,111,1,2,0.004906,568,304,31,29,0,0,1,694659.5625,371789.625,4,4,0,0,0,0,142,76,0,0,1.873127,1.546678,1421927424,1421927424,1.334,1.101667,0,0,0,0,0,0,0,0,3,3,0
1,17491,1,53,1,1,0.001256,132,164,31,29,0,0,1,420382.1563,522293,2,2,0,0,0,0,66,82,0,0,0,0,1421927424,1421927424,0.012,0.008,0,0,0,0,0,0,0,0,12,13,0
1,37437,1,53,1,2,0.001185,130,162,31,29,0,0,1,438818.5938,546835.5,2,2,0,0,0,0,65,81,0,0,0,0,1421927424,1421927424,0.012,0.008,0,0,0,0,0,0,0,0,8,6,0
2,51164,1,53,3,5,0.001055,146,178,31,29,0,0,2,553554.5,674881.5,2,2,0,0,0,0,73,89,0,0,0,0,1421927425,1421927425,0.011,0.008,0,0,0,0,0,0,0,0,10,6,0
2,60615,1,111,1,5,0.004837,568,312,31,29,0,0,2,704569,387016.75,4,4,0,0,0,0,142,78,0,0,1.751976,1.51368,1421927425,1421927425,1.248333,1.078333,0,0,0,0,0,0,0,0,2,4,0
1,59256,1,53,1,1,0.001095,130,162,31,29,0,0,1,474885.875,591780.875,2,2,0,0,0,0,65,81,0,0,0,0,1421927425,1421927425,0.011,0.007,0,0,0,0,0,0,0,0,12,3,0
2,26360,1,10351,1,5,0.001735,528,304,31,29,0,0,2,1825936.5,1051296.75,4,4,0,0,0,0,132,76,0,0,0.632862,0.298641,1421927425,1421927425,0.454,0.216667,0,0,0,0,0,0,0,0,2,4,0
2,1929,1,53,3,5,0.001067,132,164,31,29,0,0,2,494845.375,614807.875,2,2,0,0,0,0,66,82,0,0,0,0,1421927425,1421927425,0.012,0.008,0,0,0,0,0,0,0,0,10,6,0
1,19947,1,53,3,5,0.001185,130,162,31,29,0,0,1,438818.5938,546835.5,2,2,0,0,0,0,65,81,0,0,0,0,1421927425,1421927425,0.011,0.008,0,0,0,0,0,0,0,0,10,13,0
1,4765,1,80,1,1,0.249003,744,1306,62,252,2,2,1,21525.8457,36722.44922,10,8,255,255,3245068703,177825371,74,163,1,255,1455.885435,57.564633,1421927425,1421927425,27.667,32.583285,0.055891,0.010954,0.044937,0,1,1,0,0,3,2,1
1,22359,1,111,1,1,0.000017,168,0,254,0,0,0,1,39529412,0,2,0,0,0,0,0,84,0,0,0,0,0,1421927426,1421927426,0.017,0,0,0,0,0,2,0,0,0,2,1,1
1,52726,1,80,1,1,0.513537,776,1284,62,252,2,2,1,10889.18652,18008.43945,10,10,255,255,1805425761,2068578368,78,128,1,196,3669.106673,100.935828,1421927425,1421927426,57.059667,51.235,0.116633,0.051721,0.064912,0,1,1,0,0,3,2,1
1,11600,1,53,1,1,0.001023,130,162,31,29,0,0,2,508308.9063,633431.0625,2,2,0,0,0,0,65,81,0,0,0,0,1421927426,1421927426,0.011,0.008,0,0,0,0,0,0,0,0,8,13,0
1,20571,1,53,2,2,0.0011,132,164,31,29,0,0,1,480000,596363.625,2,2,0,0,0,0,66,82,0,0,0,0,1421927426,1421927426,0.011,0.007,0,0,0,0,0,0,0,0,12,6,0
1,12252,1,53,2,2,0.001109,130,162,31,29,0,0,1,468890.9063,584310.1875,2,2,0,0,0,0,65,81,0,0,0,0,1421927426,1421927426,0.011,0.008,0,0,0,0,0,0,0,0,12,6,0
1,1344,1,53,2,2,0.001135,132,164,31,29,0,0,1,465198.2188,577973.5625,2,2,0,0,0,0,66,82,0,0,0,0,1421927426,1421927426,0.011,0.008,0,0,0,0,0,0,0,0,9,7,0
1,8931,1,53,1,1,0.001094,130,162,31,29,0,0,2,475319.9375,592321.8125,2,2,0,0,0,0,65,81,0,0,0,0,1421927426,1421927426,0.01,0.009,0,0,0,0,0,0,0,0,8,13,0
1,39193,1,53,2,2,0.001107,146,178,31,29,0,0,1,527551.9375,643179.75,2,2,0,0,0,0,73,89,0,0,0,0,1421927426,1421927426,0.011,0.008,0,0,0,0,0,0,0,0,9,4,0
2,28852,1,53,2,2,0.001207,132,164,31,29,0,0,3,437448.2188,543496.25,2,2,0,0,0,0,66,82,0,0,0,0,1421927427,1421927427,0.011,0.008,0,0,0,0,0,0,0,0,9,9,0
2,0,4,0,2,2,50.004337,384,0,1,0,0,0,4,51.19556,0,6,0,0,0,0,0,64,0,0,0,2.000381,0,1421927377,1421927427,10000.867,0,0,0,0,0,0,0,0,0,2,4,0
2,0,4,0,2,2,50.004341,384,0,1,0,0,0,4,51.195557,0,6,0,0,0,0,0,64,0,0,0,0,0,1421927377,1421927427,10000.869,0,0,0,0,0,0,0,0,0,2,4,0
2,0,4,0,2,2,50.004337,384,0,1,0,0,0,4,51.19556,0,6,0,0,0,0,0,64,0,0,0,2.000381,0,1421927377,1421927427,10000.867,0,0,0,0,0,0,0,0,0,2,4,0
2,0,4,0,2,2,50.004341,384,0,1,0,0,0,4,51.195557,0,6,0,0,0,0,0,64,0,0,0,0,0,1421927377,1421927427,10000.869,0,0,0,0,0,0,0,0,0,2,4,0
